Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
0.0,408250.0,6786350.0,0.0,0.0,0.001129298104108984
2000.0,407959.1051982315,6786059.1051982315,-0.15622818787144524,2.2586738452846395,0.0011293947536905235
4000.0,408033.60572257545,6786133.605722575,0.19503238608925821,4.517481129376332,0.0011293697844412818
6000.0,408223.19986910373,6786323.199869104,-0.09478661618467256,6.776122157178434,0.001129306510937696
8000.0,407901.17589860596,6786001.175898606,-0.07800324469675551,9.034844228851307,0.001129413523036282
10000.0,408113.77317785565,6786213.773177856,0.19049128517705957,11.293633015433892,0.0011293425885344364
12000.0,408159.1187306531,6786259.118730653,-0.16721572611579996,13.552259399229618,0.001129327325784541
14000.0,407882.28299091663,6785982.282990917,0.018513927883987983,15.81102862547951,0.0011294192986473165
16000.0,408181.74722218234,6786281.747222182,0.14034116764871166,18.06978219978349,0.0011293194518463413
18000.0,408071.6049670186,6786171.604967019,-0.20006937247554524,20.328416169626117,0.0011293559403412362
20000.0,407905.30295964703,6786005.302959647,0.11035438911750864,22.587221011167976,0.0011294111227778886
22000.0,408219.8930369951,6786319.893036995,0.05654964242135432,24.845931830700874,0.0011293062431537739
24000.0,407979.9550015945,6786079.9550015945,-0.18554043542169465,27.104594546211725,0.0011293859325738865
26000.0,407963.309703893,6786063.309703893,0.17570366070400661,29.363415745130453,0.0011293913013036962
28000.0,408217.6452430133,6786317.645243013,-0.040929719869537785,31.62208716023897,0.0011293064782512028
30000.0,407904.6396489693,6786004.639648969,-0.12707927388470172,33.8807936399972,0.0011294104886131458
32000.0,408041.07780222315,6786141.077802223,0.19888152785101085,36.13960869965859,0.0011293649028468074
34000.0,408174.07443161774,6786274.074431618,-0.12886669302435044,38.398254183744726,0.0011293204664485027
36000.0,407862.0375096202,6785962.03750962,-0.038580406590334494,40.65700979060734,0.0011294241559721783
38000.0,408118.5656198496,6786218.56561985,0.17451200517375093,42.9157984752066,0.0011293385985912399
40000.0,408098.07270171866,6786198.072701719,-0.18640745142435466,45.17443840235966,0.0011293452488671974
42000.0,407860.8239547033,6785960.823954703,0.058840945399714,47.43323754420212,0.0011294240463056086
44000.0,408175.8922447683,6786275.892244768,0.10831983719001516,49.691986613047334,0.0011293190053388658
46000.0,408006.3338796403,6786106.33387964,-0.19977610559415032,51.95064339621377,0.0011293752700068046
48000.0,407899.870477112,6785999.870477112,0.1420029109156065,54.20947079824533,0.0011294105352936455
50000.0,408197.853119337,6786297.853119337,0.01608300970933367,56.4681771907561,0.001129311182920867
52000.0,407919.2060907949,6786019.206090795,-0.16575379384358663,58.72687000114547,0.0011294037573446626
54000.0,407968.4004187286,6786068.400418729,0.1910304864305148,60.985704391958386,0.0011293872107375027
56000.0,408177.7821378764,6786277.782137876,-0.08023352735933664,63.244375936491075,0.0011293173495738166
58000.0,407856.0120813884,6785956.012081388,-0.0924638106281502,65.50311607549854,0.0011294242787095639
60000.0,408048.5477822535,6786148.5477822535,0.19423444181216126,67.761935268866,0.001129360020107411
62000.0,408119.097671113,6786219.097671113,-0.15755800758699898,70.02058884427524,0.0011293363678637853
64000.0,407830.2292162152,6785930.229216215,0.0024367778876797047,72.27937702810358,0.00112943234718923
66000.0,408119.71826144215,6786219.718261442,0.15109991123013602,74.53816328401612,0.0011293358182347234
68000.0,408034.2647552686,6786134.264755269,-0.19764584824776843,76.79682075404088,0.0011293640898077766
70000.0,407846.60038637277,6785946.600386373,0.09654474005264381,79.05564703522992,0.0011294263836379255
72000.0,408163.57591704745,6786263.575917047,0.0716622854026462,81.31439109389632,0.0011293207074575674
74000.0,407941.95571995527,6786041.955719955,-0.19087106961926337,83.57307415341597,0.0011293943010945787
76000.0,407899.74616659526,6785999.746166595,0.16736129016851314,85.83192023390569,0.001129408179036698
78000.0,408168.17334469035,6786268.17334469,-0.025050352917464484,88.09062365819379,0.0011293186635799191
80000.0,407862.8096165983,6785962.809616598,-0.13888948597921233,90.34934859484501,0.0011294201318859862
82000.0,407975.4753328413,6786075.475332841,0.1980248453126559,92.608192189286,0.0011293824578720126
84000.0,408130.97081321664,6786230.970813217,-0.11596398150715778,94.86686696460306,0.0011293305317608153
86000.0,407814.10735148937,6785914.107351489,-0.054099312668900536,97.1256408503653,0.0011294358293201104
88000.0,408054.2770116469,6786154.277011647,0.18129820478408484,99.38446104060331,0.001129355714915453
90000.0,408059.41370354034,6786159.41370354,-0.17949907225333858,101.64312668388759,0.0011293538345005009
92000.0,407805.99732215144,6785905.997322151,0.04329082928600883,103.90194564488014,0.0011294380146120236
94000.0,408115.8716430757,6786215.871643076,0.12112287029368353,106.1607278306921,0.0011293346999227641
96000.0,407969.0579807451,6786069.057980745,-0.20043910498464734,108.41940679671258,0.0011293833949649974
98000.0,407838.99027802236,6785938.990278022,0.13003976114854712,110.6782569335717,0.001129426517662956
100000.0,408144.2042932939,6786244.204293294,0.03188335933239343,112.93699625735877,0.001129324755898534
102000.0,407879.95418992173,6785979.954189922,-0.17388816061852783,115.1957085113181,0.0011294125397033439
104000.0,407903.57684008963,6786003.57684009,0.18552867740416723,117.4545693001722,0.0011294045044415826
106000.0,408131.0653682025,6786231.0653682025,-0.06508872662370722,119.71327191937955,0.001129328614762138
108000.0,407811.83301398717,6785911.833013987,-0.10620203715451697,121.97203023151665,0.0011294347007724582
110000.0,407983.0021009585,6786083.0021009585,0.19655904066524127,124.23087933061396,0.0011293775527558708
112000.0,408078.0471964348,6786178.047196435,-0.14674875545451113,126.48956085087062,0.0011293457467061669
114000.0,407779.50664961897,6785879.506649619,-0.013518356411317456,128.74836775600696,0.001129444946866465
116000.0,408056.81541270483,6786156.815412705,0.16051728762513412,131.00718635238837,0.0011293524699016394
118000.0,407996.4067811128,6786096.406781113,-0.19369943253937053,133.26586812383204,0.0011293724057195842
120000.0,407789.156383289,6785889.156383289,0.08212993288797286,135.5247153206407,0.0011294412199056832
